Назва банку,Статутний капітал ,Емісійні різниці ,Незареєстровані внески до статутного капіталу,Нерозподілений прибуток (непокритий збиток),Резервні та інші фонди банку,Резерви переоцінки,Усього власного капіталу ,Усього зобов'язань та власного капіталу
IМЕКСБАНК,1290000,0,0,20354,88347,3795,1402496,11027606
БАНК ФОРУМ,5934619,0,800381,-5569409,38638,109135,1313363,10404087
IHГ БАНК УКРАЇНА,731298,0,0,518331,394955,0,1644585,9665451
РОДОВІД БАНК,12359299,535524,0,-9960114,573038,110604,3618351,8835631
"""ХРЕЩАТИК""",828828,0,0,-201079,51655,28283,707688,8822107
БАНК КИЇВСЬКА РУСЬ ,516080,0,53000,-122424,28955,83990,559601,8371188
ЗЛАТОБАНК,452500,0,0,4515,3617,0,460632,7585945
ПІВДЕНКОМБАНК ,300000,0,226440,8322,71951,10808,617521,7503435
УНІВЕРСАЛ БАНК,1162672,887485,0,-1527665,27986,-3903,546575,6571103
ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,722000,0,0,83214,4481,0,809695,6538177
БТА БАНК  ,1500000,3,0,28222,0,44367,1572592,6115953
УКРІНБАНК,305000,12,0,14387,30281,229384,579063,6028642
БАНК КРЕДИТ ДНІПРО,315000,0,0,-23013,189968,94428,576382,5891901
СІТІБАНК ,66500,253091,0,483374,119334,14429,936727,6012520
ДІВІ БАНК,590000,0,0,32365,235,0,622600,5983754
ПЛАТИНУМ БАНК,380567,0,0,29440,9092,0,419099,5794708
УКРБІЗНЕСБАНК ,284160,11436,0,41885,82459,44839,464780,5770962
МЕГАБАНК,500000,138,0,20095,105321,50074,675629,5438012
ТЕРРА БАНК,557141,0,0,1684,9386,1638,569850,4846752
АКТАБАНК ,400000,12,0,535,17746,0,418294,4790347
ДІАМАНТБАНК,210000,0,0,4828,64627,0,279455,4780643
МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК ,400000,0,0,26256,7201,4405,437862,4712988
"""СОЮЗ""",336000,0,0,3401,7171,369,346941,4630125
ПРАВЕКС-БАНК,949170,1521161,0,-1611332,1332,251944,1112274,4504311
РЕАЛ БАНК,800000,1120000,0,17063,22676,2058,1961798,4469266
КРЕДOБАНК,1918969,38,0,-1469935,40176,153695,642943,4381847
БАНК 3/4,350000,0,0,69048,88164,14144,521355,4287553
"""КЛІРИНГОВИЙ ДІМ""",439693,0,0,32028,83346,49985,605051,3912133
АКТИВ - БАНК,312750,0,0,126261,107245,9638,555894,3795774
АВАНТ-БАНК,320000,0,0,1458,1100,686,323244,3787993
БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,161000,0,0,10169,52783,-47,223905,3783331
УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,500000,9540,0,70316,46652,168,626675,3696879
ЕКСПОБАНК,404231,0,0,-124793,9185,93451,382074,3658378
ЄВРОГАЗБАНК ,270000,0,0,1904,9763,0,281668,3656295
БАНК РУСКИЙ СТАНДАРТ,283000,0,0,52387,0,0,335387,3651615
ФІНБАНК,185050,44,0,-5290,13770,37135,230709,2960220
БАНК ВОСТОК,307350,0,0,62978,2703,0,373030,3074500
